[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.44,          3.31,       0.98,       9.76,     32.28,          0.21
       -9,          1,    2,        -14.35,          3.31,       1.12,      11.23,     37.16,          0.28
       -9,          1,    3,        -13.01,          3.31,       1.24,      12.37,     40.93,          0.29
       -9,          1,    4,        -12.45,          3.31,       1.34,      13.37,     44.22,          0.28
       -9,          1,    5,        -11.49,          3.31,       1.43,      14.35,     47.48,          0.30
       -9,          1,    6,        -11.00,          3.31,       1.53,      15.24,     50.40,          0.30
       -9,          1,    7,        -10.59,          3.31,       1.61,      16.09,     53.22,          0.30
       -9,          2,    1,        -16.44,          3.31,       1.01,      10.06,     33.28,          0.24
       -9,          2,    2,        -13.22,          3.31,       1.18,      11.78,     38.99,          0.31
       -9,          2,    3,        -11.76,          3.31,       1.31,      13.10,     43.31,          0.34
       -9,          2,    4,        -10.83,          3.31,       1.42,      14.22,     47.04,          0.35
       -9,          2,    5,        -10.29,          3.31,       1.53,      15.23,     50.38,          0.35
       -9,          2,    6,        -10.12,          3.31,       1.62,      16.16,     53.47,          0.33
       -9,          2,    7,         -9.45,          3.31,       1.70,      16.94,     56.05,          0.35
       -9,          3,    1,        -15.64,          3.31,       1.04,      10.40,     34.41,          0.25
       -9,          3,    2,        -12.36,          3.31,       1.23,      12.31,     40.73,          0.34
       -9,          3,    3,        -10.91,          3.31,       1.38,      13.77,     45.56,          0.37
       -9,          3,    4,        -10.05,          3.31,       1.49,      14.92,     49.37,          0.38
       -9,          3,    5,         -9.55,          3.31,       1.59,      15.90,     52.60,          0.38
       -9,          3,    6,         -9.19,          3.31,       1.68,      16.78,     55.50,          0.38
       -9,          3,    7,         -8.94,          3.31,       1.76,      17.61,     58.25,          0.37
       -9,          4,    1,        -15.34,          3.31,       1.07,      10.72,     35.44,          0.25
       -9,          4,    2,        -12.15,          3.31,       1.29,      12.85,     42.52,          0.32
       -9,          4,    3,        -10.39,          3.31,       1.43,      14.32,     47.35,          0.39
       -9,          4,    4,         -9.59,          3.31,       1.55,      15.51,     51.31,          0.40
       -9,          4,    5,         -9.11,          3.31,       1.65,      16.52,     54.66,          0.40
       -9,          4,    6,         -8.76,          3.31,       1.74,      17.39,     57.53,          0.39
       -9,          4,    7,         -8.47,          3.31,       1.84,      18.35,     60.70,          0.38
       -8,          1,    1,        -16.16,          3.31,       1.01,      10.07,     33.30,          0.25
       -8,          1,    2,        -13.08,          3.31,       1.17,      11.67,     38.59,          0.33
       -8,          1,    3,        -11.92,          3.31,       1.29,      12.87,     42.56,          0.34
       -8,          1,    4,        -11.30,          3.31,       1.39,      13.87,     45.89,          0.34
       -8,          1,    5,        -10.29,          3.31,       1.49,      14.94,     49.41,          0.36
       -8,          1,    6,         -9.82,          3.31,       1.59,      15.84,     52.38,          0.36
       -8,          1,    7,         -9.42,          3.31,       1.67,      16.74,     55.37,          0.36
       -8,          2,    1,        -15.19,          3.31,       1.04,      10.39,     34.37,          0.28
       -8,          2,    2,        -11.97,          3.31,       1.23,      12.29,     40.65,          0.37
       -8,          2,    3,        -10.53,          3.31,       1.37,      13.70,     45.32,          0.41
       -8,          2,    4,         -9.62,          3.31,       1.49,      14.94,     49.43,          0.42
       -8,          2,    5,         -9.26,          3.31,       1.60,      15.96,     52.78,          0.41
