[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.63,          3.30,       0.89,       8.95,     29.54,          0.37
        -18,          1,    2,        -20.64,          3.30,       0.93,       9.26,     30.58,          0.34
        -18,          1,    3,        -19.30,          3.30,       0.96,       9.64,     31.79,          0.32
        -18,          1,    4,        -18.27,          3.30,       0.99,       9.94,     32.81,          0.31
        -18,          1,    5,        -17.25,          3.30,       1.02,      10.21,     33.70,          0.33
        -18,          1,    6,        -16.60,          3.30,       1.05,      10.51,     34.66,          0.33
        -18,          1,    7,        -15.92,          3.30,       1.08,      10.80,     35.65,          0.34
        -18,          2,    1,        -20.17,          3.30,       0.92,       9.17,     30.26,          0.72
        -18,          2,    2,        -18.63,          3.30,       0.96,       9.57,     31.59,          0.52
        -18,          2,    3,        -17.31,          3.30,       0.99,       9.92,     32.73,          0.49
        -18,          2,    4,        -16.29,          3.30,       1.03,      10.26,     33.84,          0.48
        -18,          2,    5,        -15.50,          3.30,       1.06,      10.58,     34.90,          0.47
        -18,          2,    6,        -14.79,          3.30,       1.09,      10.89,     35.91,          0.48
        -18,          2,    7,        -14.31,          3.30,       1.12,      11.26,     37.16,          0.45
        -18,          3,    1,        -17.50,          3.30,       0.96,       9.61,     31.70,          0.94
        -18,          3,    2,        -16.04,          3.30,       1.00,      10.02,     33.06,          0.77
        -18,          3,    3,        -14.93,          3.30,       1.04,      10.38,     34.25,          0.72
        -18,          3,    4,        -14.12,          3.30,       1.08,      10.76,     35.49,          0.68
        -18,          3,    5,        -13.44,          3.30,       1.12,      11.15,     36.78,          0.65
        -18,          3,    6,        -12.89,          3.30,       1.15,      11.47,     37.85,          0.64
        -18,          3,    7,        -12.51,          3.30,       1.18,      11.81,     38.98,          0.61
        -18,          4,    1,        -15.43,          3.30,       1.00,      10.01,     33.03,          1.19
        -18,          4,    2,        -14.19,          3.30,       1.05,      10.44,     34.45,          1.00
        -18,          4,    3,        -13.31,          3.30,       1.09,      10.87,     35.87,          0.89
        -18,          4,    4,        -12.59,          3.30,       1.13,      11.32,     37.36,          0.82
        -18,          4,    5,        -12.06,          3.30,       1.17,      11.66,     38.47,          0.79
        -18,          4,    6,        -11.65,          3.30,       1.20,      11.99,     39.55,          0.77
        -18,          4,    7,        -11.27,          3.30,       1.23,      12.31,     40.61,          0.75
        -18,          5,    1,        -13.42,          3.30,       1.06,      10.55,     34.82,          1.65
        -18,          5,    2,        -12.26,          3.30,       1.11,      11.11,     36.64,          1.30
        -18,          5,    3,        -11.53,          3.30,       1.16,      11.57,     38.16,          1.15
        -18,          5,    4,        -11.00,          3.30,       1.20,      11.98,     39.52,          1.07
        -18,          5,    5,        -10.57,          3.30,       1.23,      12.32,     40.66,          1.02
        -18,          5,    6,        -10.22,          3.30,       1.27,      12.69,     41.88,          0.97
        -18,          5,    7,         -9.88,          3.30,       1.30,      13.02,     42.96,          0.94
        -18,          6,    1,        -12.12,          3.30,       1.11,      11.10,     36.61,          2.00
        -18,          6,    2,        -11.13,          3.30,       1.17,      11.64,     38.41,          1.58
        -18,          6,    3,        -10.50,          3.30,       1.21,      12.10,     39.91,          1.40
        -18,          6,    4,         -9.95,          3.30,       1.25,      12.52,     41.28,          1.31
        -18,          6,    5,         -9.66,          3.30,       1.29,      12.90,     42.56,          1.20
        -18,          6,    6,         -9.28,          3.30,       1.33,      13.28,     43.79,          1.15
        -18,          6,    7,         -8.98,          3.30,       1.36,      13.64,     44.99,          1.11
        -18,          7,    1,        -11.10,          3.30,       1.16,      11.59,     38.24,          2.24
        -18,          7,    2,        -10.12,          3.30,       1.22,      12.23,     40.33,          1.75
        -18,          7,    3,         -9.42,          3.30,       1.27,      12.73,     42.00,          1.58
        -18,          7,    4,         -9.01,          3.30,       1.32,      13.20,     43.54,          1.43
        -18,          7,    5,         -8.69,          3.30,       1.36,      13.60,     44.85,          1.34
        -18,          7,    6,         -8.41,          3.30,       1.40,      13.96,     46.07,          1.28
        -18,          7,    7,         -8.18,          3.30,       1.44,      14.35,     47.32,          1.21
        -17,          1,    1,        -22.22,          3.30,       0.90,       8.97,     29.59,          0.40
        -17,          1,    2,        -20.49,          3.30,       0.93,       9.28,     30.63,          0.35
        -17,          1,    3,        -18.98,          3.30,       0.97,       9.67,     31.90,          0.33
        -17,          1,    4,        -17.74,          3.30,       1.00,       9.99,     32.96,          0.34
        -17,          1,    5,        -16.87,          3.30,       1.03,      10.28,     33.91,          0.35
        -17,          1,    6,        -16.12,          3.30,       1.06,      10.57,     34.88,          0.36
        -17,          1,    7,        -15.60,          3.30,       1.09,      10.86,     35.83,          0.36
        -17,          2,    1,        -19.96,          3.30,       0.92,       9.19,     30.33,          0.85
        -17,          2,    2,        -18.16,          3.30,       0.96,       9.64,     31.81,          0.57
        -17,          2,    3,        -16.84,          3.30,       1.00,      10.01,     33.04,          0.53
        -17,          2,    4,        -15.87,          3.30,       1.03,      10.31,     34.01,          0.53
        -17,          2,    5,        -15.10,          3.30,       1.07,      10.69,     35.26,          0.51
        -17,          2,    6,        -14.41,          3.30,       1.10,      11.01,     36.33,          0.50
        -17,          2,    7,        -13.80,          3.30,       1.14,      11.36,     37.45,          0.50
        -17,          3,    1,        -17.08,          3.30,       0.97,       9.69,     31.97,          0.99
        -17,          3,    2,        -15.66,          3.30,       1.01,      10.09,     33.28,          0.83
        -17,          3,    3,        -14.47,          3.30,       1.05,      10.49,     34.61,          0.77
        -17,          3,    4,        -13.70,          3.30,       1.09,      10.89,     35.94,          0.72
        -17,          3,    5,        -13.05,          3.30,       1.13,      11.27,     37.18,          0.69
        -17,          3,    6,        -12.54,          3.30,       1.16,      11.63,     38.38,          0.66
        -17,          3,    7,        -12.09,          3.30,       1.19,      11.89,     39.23,          0.67
        -17,          4,    1,        -15.03,          3.30,       1.01,      10.10,     33.34,          1.32
        -17,          4,    2,        -13.81,          3.30,       1.05,      10.54,     34.78,          1.09
        -17,          4,    3,        -12.83,          3.30,       1.10,      11.03,     36.40,          0.96
        -17,          4,    4,        -12.15,          3.30,       1.14,      11.42,     37.69,          0.91
        -17,          4,    5,        -11.65,          3.30,       1.18,      11.78,     38.87,          0.86
        -17,          4,    6,        -11.25,          3.30,       1.21,      12.10,     39.93,          0.84
        -17,          4,    7,        -10.81,          3.30,       1.25,      12.48,     41.16,          0.81
        -17,          5,    1,        -12.94,          3.30,       1.07,      10.69,     35.25,          1.75
        -17,          5,    2,        -11.89,          3.30,       1.13,      11.27,     37.17,          1.34
        -17,          5,    3,        -11.16,          3.30,       1.17,      11.71,     38.64,          1.22
        -17,          5,    4,        -10.61,          3.30,       1.21,      12.13,     40.01,          1.13
        -17,          5,    5,        -10.15,          3.30,       1.25,      12.55,     41.40,          1.07
        -17,          5,    6,         -9.80,          3.30,       1.29,      12.89,     42.53,          1.03
        -17,          5,    7,         -9.51,          3.30,       1.32,      13.24,     43.69,          0.99
        -17,          6,    1,        -11.70,          3.30,       1.13,      11.29,     37.23,          2.01
        -17,          6,    2,        -10.68,          3.30,       1.18,      11.82,     39.00,          1.66
        -17,          6,    3,        -10.04,          3.30,       1.23,      12.30,     40.58,          1.48
        -17,          6,    4,         -9.54,          3.30,       1.28,      12.77,     42.13,          1.34
        -17,          6,    5,         -9.15,          3.30,       1.32,      13.15,     43.37,          1.28
        -17,          6,    6,         -8.86,          3.30,       1.35,      13.52,     44.58,          1.21
        -17,          6,    7,         -8.61,          3.30,       1.39,      13.85,     45.70,          1.16
        -17,          7,    1,        -10.63,          3.30,       1.18,      11.81,     38.97,          2.37
        -17,          7,    2,         -9.58,          3.30,       1.25,      12.45,     41.06,          1.92
        -17,          7,    3,         -9.01,          3.30,       1.30,      13.01,     42.90,          1.66
        -17,          7,    4,         -8.55,          3.30,       1.35,      13.48,     44.46,          1.53
        -17,          7,    5,         -8.27,          3.30,       1.38,      13.82,     45.58,          1.45
        -17,          7,    6,         -8.01,          3.30,       1.42,      14.25,     47.01,          1.35
        -17,          7,    7,         -7.76,          3.30,       1.47,      14.64,     48.27,          1.29
