[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.50,          3.31,       0.98,       9.77,     32.32,          0.21
       -9,          1,    2,        -14.65,          3.31,       1.13,      11.25,     37.21,          0.26
       -9,          1,    3,        -13.39,          3.31,       1.24,      12.38,     40.94,          0.27
       -9,          1,    4,        -12.18,          3.31,       1.34,      13.36,     44.20,          0.30
       -9,          1,    5,        -11.51,          3.31,       1.44,      14.38,     47.56,          0.30
       -9,          1,    6,        -11.03,          3.31,       1.52,      15.24,     50.41,          0.30
       -9,          1,    7,        -10.61,          3.31,       1.61,      16.10,     53.25,          0.30
       -9,          2,    1,        -16.47,          3.31,       1.01,      10.08,     33.35,          0.24
       -9,          2,    2,        -13.26,          3.31,       1.18,      11.79,     38.99,          0.31
       -9,          2,    3,        -12.02,          3.31,       1.31,      13.11,     43.37,          0.32
       -9,          2,    4,        -11.22,          3.31,       1.42,      14.23,     47.09,          0.33
       -9,          2,    5,        -10.25,          3.31,       1.53,      15.27,     50.51,          0.35
       -9,          2,    6,         -9.80,          3.31,       1.62,      16.18,     53.50,          0.35
       -9,          2,    7,         -9.47,          3.31,       1.70,      16.97,     56.12,          0.35
       -9,          3,    1,        -15.68,          3.31,       1.04,      10.39,     34.37,          0.25
       -9,          3,    2,        -12.38,          3.31,       1.24,      12.34,     40.83,          0.34
       -9,          3,    3,        -11.00,          3.31,       1.37,      13.74,     45.44,          0.36
       -9,          3,    4,        -10.42,          3.31,       1.49,      14.94,     49.42,          0.35
       -9,          3,    5,         -9.58,          3.31,       1.59,      15.89,     52.57,          0.38
       -9,          3,    6,         -9.21,          3.31,       1.68,      16.77,     55.46,          0.38
       -9,          3,    7,         -8.95,          3.31,       1.76,      17.60,     58.20,          0.37
       -9,          4,    1,        -15.08,          3.31,       1.07,      10.74,     35.53,          0.26
       -9,          4,    2,        -11.79,          3.31,       1.29,      12.87,     42.58,          0.35
       -9,          4,    3,        -10.41,          3.31,       1.43,      14.33,     47.39,          0.38
       -9,          4,    4,         -9.61,          3.31,       1.55,      15.50,     51.28,          0.39
       -9,          4,    5,         -9.14,          3.31,       1.65,      16.53,     54.68,          0.39
       -9,          4,    6,         -8.83,          3.31,       1.74,      17.41,     57.58,          0.39
       -9,          4,    7,         -8.84,          3.31,       1.84,      18.35,     60.69,          0.35
       -8,          1,    1,        -16.18,          3.31,       1.01,      10.07,     33.31,          0.25
       -8,          1,    2,        -13.11,          3.31,       1.17,      11.66,     38.58,          0.33
       -8,          1,    3,        -11.78,          3.31,       1.29,      12.87,     42.59,          0.35
       -8,          1,    4,        -10.97,          3.31,       1.39,      13.91,     46.00,          0.36
       -8,          1,    5,        -10.32,          3.31,       1.49,      14.94,     49.43,          0.36
       -8,          1,    6,         -9.85,          3.31,       1.58,      15.84,     52.39,          0.36
       -8,          1,    7,         -9.45,          3.31,       1.67,      16.72,     55.31,          0.36
       -8,          2,    1,        -15.57,          3.31,       1.04,      10.43,     34.51,          0.26
       -8,          2,    2,        -11.99,          3.31,       1.23,      12.26,     40.57,          0.37
       -8,          2,    3,        -10.55,          3.31,       1.37,      13.71,     45.34,          0.41
       -8,          2,    4,         -9.63,          3.31,       1.49,      14.93,     49.39,          0.42
       -8,          2,    5,         -9.05,          3.31,       1.60,      15.96,     52.79,          0.43
       -8,          2,    6,         -8.61,          3.31,       1.69,      16.89,     55.89,          0.43
       -8,          2,    7,         -8.42,          3.31,       1.77,      17.76,     58.75,          0.41
       -8,          3,    1,        -14.73,          3.31,       1.08,      10.81,     35.77,          0.28
       -8,          3,    2,        -11.12,          3.31,       1.30,      12.97,     42.89,          0.40
       -8,          3,    3,         -9.69,          3.31,       1.45,      14.51,     47.99,          0.44
       -8,          3,    4,         -8.84,          3.31,       1.57,      15.71,     51.97,          0.46
       -8,          3,    5,         -8.36,          3.31,       1.67,      16.72,     55.31,          0.46
       -8,          3,    6,         -8.00,          3.31,       1.76,      17.63,     58.30,          0.46
       -8,          3,    7,         -7.77,          3.31,       1.85,      18.53,     61.28,          0.44
       -8,          4,    1,        -14.04,          3.31,       1.13,      11.25,     37.23,          0.29
       -8,          4,    2,        -10.88,          3.31,       1.36,      13.54,     44.80,          0.38
       -8,          4,    3,         -9.14,          3.31,       1.52,      15.19,     50.23,          0.46
       -8,          4,    4,         -8.37,          3.31,       1.64,      16.41,     54.29,          0.47
       -8,          4,    5,         -7.90,          3.31,       1.74,      17.41,     57.59,          0.48
       -8,          4,    6,         -7.56,          3.31,       1.84,      18.42,     60.94,          0.47
       -8,          4,    7,         -7.28,          3.31,       1.93,      19.33,     63.93,          0.46
       -7,          1,    1,        -15.14,          3.31,       1.03,      10.32,     34.15,          0.29
       -7,          1,    2,        -12.20,          3.31,       1.21,      12.07,     39.91,          0.37
       -7,          1,    3,        -11.09,          3.31,       1.33,      13.33,     44.08,          0.38
       -7,          1,    4,         -9.94,          3.31,       1.45,      14.45,     47.79,          0.42
       -7,          1,    5,         -9.30,          3.31,       1.55,      15.49,     51.26,          0.43
       -7,          1,    6,         -8.84,          3.31,       1.64,      16.44,     54.37,          0.43
       -7,          1,    7,         -8.45,          3.31,       1.73,      17.34,     57.36,          0.43
       -7,          2,    1,        -14.14,          3.31,       1.07,      10.73,     35.49,          0.33
       -7,          2,    2,        -10.93,          3.31,       1.28,      12.81,     42.35,          0.43
       -7,          2,    3,         -9.50,          3.31,       1.43,      14.30,     47.31,          0.48
       -7,          2,    4,         -8.87,          3.31,       1.56,      15.59,     51.58,          0.47
       -7,          2,    5,         -8.02,          3.31,       1.67,      16.65,     55.09,          0.50
       -7,          2,    6,         -7.60,          3.31,       1.76,      17.62,     58.27,          0.50
