[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.04,          3.50,       0.95,       9.52,     33.35,          0.24
       -9,          1,    2,        -14.78,          3.50,       1.07,      10.69,     37.47,          0.27
       -9,          1,    3,        -13.76,          3.50,       1.16,      11.66,     40.83,          0.27
       -9,          1,    4,        -13.10,          3.50,       1.24,      12.44,     43.59,          0.26
       -9,          1,    5,        -12.76,          3.50,       1.32,      13.23,     46.36,          0.25
       -9,          1,    6,        -12.50,          3.50,       1.39,      13.92,     48.80,          0.24
       -9,          1,    7,        -12.55,          3.50,       1.47,      14.71,     51.55,          0.21
       -9,          2,    1,        -16.42,          3.50,       0.97,       9.71,     34.01,          0.25
       -9,          2,    2,        -14.03,          3.50,       1.09,      10.94,     38.35,          0.29
       -9,          2,    3,        -13.12,          3.50,       1.19,      11.94,     41.83,          0.29
       -9,          2,    4,        -12.58,          3.50,       1.28,      12.81,     44.92,          0.28
       -9,          2,    5,        -12.17,          3.50,       1.37,      13.67,     47.88,          0.26
       -9,          2,    6,        -11.86,          3.50,       1.45,      14.47,     50.72,          0.25
       -9,          2,    7,        -11.57,          3.50,       1.53,      15.26,     53.46,          0.24
       -9,          3,    1,        -15.87,          3.50,       0.99,       9.92,     34.76,          0.26
       -9,          3,    2,        -13.46,          3.50,       1.14,      11.36,     39.80,          0.30
       -9,          3,    3,        -12.41,          3.50,       1.25,      12.46,     43.66,          0.30
       -9,          3,    4,        -11.77,          3.50,       1.34,      13.43,     47.06,          0.30
       -9,          3,    5,        -11.29,          3.50,       1.44,      14.40,     50.44,          0.29
       -9,          3,    6,        -10.94,          3.50,       1.53,      15.25,     53.44,          0.28
       -9,          3,    7,        -10.64,          3.50,       1.61,      16.12,     56.49,          0.27
       -9,          4,    1,        -15.41,          3.50,       1.02,      10.16,     35.62,          0.27
       -9,          4,    2,        -12.88,          3.50,       1.18,      11.79,     41.32,          0.31
       -9,          4,    3,        -12.11,          3.50,       1.30,      13.05,     45.71,          0.29
       -9,          4,    4,        -11.12,          3.50,       1.41,      14.10,     49.41,          0.31
       -9,          4,    5,        -10.68,          3.50,       1.51,      15.08,     52.84,          0.30
       -9,          4,    6,        -10.36,          3.50,       1.60,      15.98,     55.99,          0.30
       -9,          4,    7,        -10.11,          3.50,       1.68,      16.78,     58.79,          0.29
       -8,          1,    1,        -15.76,          3.50,       0.98,       9.80,     34.35,          0.28
       -8,          1,    2,        -13.38,          3.50,       1.11,      11.11,     38.91,          0.33
       -8,          1,    3,        -12.36,          3.50,       1.20,      12.02,     42.13,          0.34
       -8,          1,    4,        -11.88,          3.50,       1.29,      12.89,     45.18,          0.32
       -8,          1,    5,        -11.56,          3.50,       1.36,      13.63,     47.75,          0.31
       -8,          1,    6,        -11.31,          3.50,       1.44,      14.38,     50.36,          0.29
       -8,          1,    7,        -11.09,          3.50,       1.52,      15.16,     53.11,          0.28
       -8,          2,    1,        -15.15,          3.50,       1.00,       9.99,     34.99,          0.30
       -8,          2,    2,        -12.75,          3.50,       1.14,      11.38,     39.89,          0.35
       -8,          2,    3,        -11.86,          3.50,       1.24,      12.38,     43.37,          0.35
       -8,          2,    4,        -11.34,          3.50,       1.33,      13.27,     46.49,          0.34
       -8,          2,    5,        -10.94,          3.50,       1.42,      14.16,     49.61,          0.33
       -8,          2,    6,        -10.66,          3.50,       1.50,      14.95,     52.38,          0.31
       -8,          2,    7,        -10.39,          3.50,       1.58,      15.76,     55.20,          0.30
       -8,          3,    1,        -14.60,          3.50,       1.03,      10.27,     35.97,          0.31
       -8,          3,    2,        -12.41,          3.50,       1.18,      11.79,     41.32,          0.35
       -8,          3,    3,        -11.41,          3.50,       1.30,      12.95,     45.38,          0.35
       -8,          3,    4,        -10.53,          3.50,       1.40,      13.97,     48.96,          0.37
       -8,          3,    5,        -10.06,          3.50,       1.50,      15.00,     52.56,          0.36
       -8,          3,    6,         -9.71,          3.50,       1.59,      15.87,     55.61,          0.35
       -8,          3,    7,         -9.43,          3.50,       1.67,      16.72,     58.59,          0.34
       -8,          4,    1,        -14.41,          3.50,       1.05,      10.55,     36.98,          0.29
       -8,          4,    2,        -11.60,          3.50,       1.23,      12.34,     43.22,          0.37
       -8,          4,    3,        -10.81,          3.50,       1.37,      13.65,     47.82,          0.36
       -8,          4,    4,        -10.15,          3.50,       1.48,      14.81,     51.90,          0.36
       -8,          4,    5,         -9.68,          3.50,       1.58,      15.78,     55.28,          0.35
       -8,          4,    6,         -9.40,          3.50,       1.67,      16.70,     58.49,          0.34
       -8,          4,    7,         -8.96,          3.50,       1.75,      17.53,     61.39,          0.35
       -7,          1,    1,        -14.74,          3.50,       1.00,      10.04,     35.19,          0.33
       -7,          1,    2,        -12.16,          3.50,       1.14,      11.47,     40.18,          0.40
       -7,          1,    3,        -11.31,          3.50,       1.24,      12.38,     43.38,          0.40
       -7,          1,    4,        -10.83,          3.50,       1.33,      13.24,     46.39,          0.38
       -7,          1,    5,        -10.53,          3.50,       1.40,      14.02,     49.14,          0.37
       -7,          1,    6,        -10.30,          3.50,       1.48,      14.83,     51.96,          0.35
       -7,          1,    7,        -10.08,          3.50,       1.56,      15.56,     54.52,          0.33
       -7,          2,    1,        -14.04,          3.50,       1.03,      10.26,     35.96,          0.36
       -7,          2,    2,        -11.72,          3.50,       1.18,      11.74,     41.15,          0.41
       -7,          2,    3,        -10.97,          3.50,       1.28,      12.81,     44.89,          0.40
       -7,          2,    4,        -10.27,          3.50,       1.37,      13.72,     48.06,          0.41
       -7,          2,    5,         -9.99,          3.50,       1.46,      14.62,     51.25,          0.38
       -7,          2,    6,         -9.85,          3.50,       1.55,      15.43,     54.08,          0.35
       -7,          2,    7,         -9.41,          3.50,       1.63,      16.30,     57.12,          0.36
       -7,          3,    1,        -13.53,          3.50,       1.06,      10.58,     37.06,          0.36
       -7,          3,    2,        -11.23,          3.50,       1.22,      12.21,     42.80,          0.42
       -7,          3,    3,        -10.07,          3.50,       1.35,      13.47,     47.19,          0.44
       -7,          3,    4,         -9.45,          3.50,       1.46,      14.60,     51.17,          0.43
       -7,          3,    5,         -9.15,          3.50,       1.56,      15.57,     54.55,          0.41
       -7,          3,    6,         -8.66,          3.50,       1.65,      16.50,     57.82,          0.41
       -7,          3,    7,         -8.39,          3.50,       1.74,      17.36,     60.81,          0.40
       -7,          4,    1,        -13.06,          3.50,       1.09,      10.93,     38.30,          0.36
       -7,          4,    2,        -10.69,          3.50,       1.28,      12.85,     45.01,          0.42
       -7,          4,    3,         -9.61,          3.50,       1.42,      14.25,     49.93,          0.43
       -7,          4,    4,         -8.78,          3.50,       1.55,      15.46,     54.19,          0.45
       -7,          4,    5,         -8.58,          3.50,       1.65,      16.50,     57.81,          0.42
       -7,          4,    6,         -8.05,          3.50,       1.74,      17.38,     60.89,          0.43
       -7,          4,    7,         -7.82,          3.50,       1.83,      18.34,     64.25,          0.42
       -6,          1,    1,        -13.70,          3.50,       1.03,      10.29,     36.06,          0.38
       -6,          1,    2,        -11.19,          3.50,       1.18,      11.81,     41.39,          0.46
       -6,          1,    3,        -10.34,          3.50,       1.28,      12.80,     44.87,          0.46
       -6,          1,    4,         -9.88,          3.50,       1.36,      13.65,     47.83,          0.45
       -6,          1,    5,         -9.63,          3.50,       1.45,      14.50,     50.79,          0.42
       -6,          1,    6,         -9.36,          3.50,       1.52,      15.21,     53.29,          0.41
       -6,          1,    7,         -9.19,          3.50,       1.60,      16.01,     56.07,          0.39
       -6,          2,    1,        -13.07,          3.50,       1.06,      10.56,     37.01,          0.41
       -6,          2,    2,        -10.69,          3.50,       1.21,      12.15,     42.58,          0.48
       -6,          2,    3,         -9.81,          3.50,       1.33,      13.26,     46.46,          0.48
       -6,          2,    4,         -9.61,          3.50,       1.42,      14.16,     49.62,          0.44
       -6,          2,    5,         -8.94,          3.50,       1.51,      15.09,     52.88,          0.46
       -6,          2,    6,         -8.67,          3.50,       1.60,      15.95,     55.89,          0.44
       -6,          2,    7,         -8.42,          3.50,       1.68,      16.76,     58.72,          0.42
       -6,          3,    1,        -12.51,          3.50,       1.09,      10.96,     38.42,          0.41
       -6,          3,    2,        -10.23,          3.50,       1.27,      12.69,     44.46,          0.48
       -6,          3,    3,         -9.25,          3.50,       1.40,      13.98,     48.96,          0.49
       -6,          3,    4,         -8.49,          3.50,       1.51,      15.13,     53.01,          0.50
       -6,          3,    5,         -8.04,          3.50,       1.62,      16.18,     56.70,          0.49
       -6,          3,    6,         -7.74,          3.50,       1.71,      17.11,     59.93,          0.48
       -6,          3,    7,         -7.45,          3.50,       1.81,      18.07,     63.30,          0.47
       -6,          4,    1,        -12.32,          3.50,       1.13,      11.35,     39.78,          0.39
       -6,          4,    2,         -9.60,          3.50,       1.34,      13.38,     46.88,          0.50
       -6,          4,    3,         -8.45,          3.50,       1.49,      14.89,     52.16,          0.52
       -6,          4,    4,         -7.81,          3.50,       1.61,      16.12,     56.45,          0.52
       -6,          4,    5,         -7.62,          3.50,       1.72,      17.17,     60.14,          0.49
